+----+-------------+----------------+-----------+-------------+-------+-------------+
|    | Package     | Type           |      Corr |           p |   Lag |   scale_var |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |           9 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |           9 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |           9 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |           9 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |           9 |
|  0 | statsmodels | Point-Biserial | -0.389074 | 0.0899777   |     1 |          10 |
|  1 | statsmodels | Pearson        | -0.538564 | 0.0142884   |     1 |          10 |
|  2 | statsmodels | Point-Biserial | -0.348384 | 0.027592    |     2 |          10 |
|  3 | statsmodels | Pearson        | -0.509056 | 0.000795146 |     2 |          10 |
|  4 | statsmodels | Point-Biserial | -0.323593 | 0.0116666   |     3 |          10 |
|  5 | statsmodels | Pearson        | -0.500715 | 4.61338e-05 |     3 |          10 |
|  6 | statsmodels | Point-Biserial | -0.306577 | 0.00567674  |     4 |          10 |
|  7 | statsmodels | Pearson        | -0.500326 | 2.29238e-06 |     4 |          10 |
|  8 | statsmodels | Point-Biserial | -0.293187 | 0.00307285  |     5 |          10 |
|  9 | statsmodels | Pearson        | -0.501276 | 1.08331e-07 |     5 |          10 |
| 10 | statsmodels | Point-Biserial | -0.282674 | 0.00175893  |     6 |          10 |
| 11 | statsmodels | Pearson        | -0.504277 | 4.30339e-09 |     6 |          10 |
| 12 | statsmodels | Point-Biserial | -0.272499 | 0.0011251   |     7 |          10 |
| 13 | statsmodels | Pearson        | -0.502223 | 2.58006e-10 |     7 |          10 |
|  0 | vars        | Point-Biserial | -0.389074 | 0.0899777   |     1 |          10 |
|  1 | vars        | Pearson        | -0.538564 | 0.0142884   |     1 |          10 |
|  2 | vars        | Point-Biserial | -0.348384 | 0.027592    |     2 |          10 |
|  3 | vars        | Pearson        | -0.509056 | 0.000795146 |     2 |          10 |
|  4 | vars        | Point-Biserial | -0.323593 | 0.0116666   |     3 |          10 |
|  5 | vars        | Pearson        | -0.500715 | 4.61338e-05 |     3 |          10 |
|  6 | vars        | Point-Biserial | -0.306577 | 0.00567674  |     4 |          10 |
|  7 | vars        | Pearson        | -0.500326 | 2.29238e-06 |     4 |          10 |
|  8 | vars        | Point-Biserial | -0.293187 | 0.00307285  |     5 |          10 |
|  9 | vars        | Pearson        | -0.501276 | 1.08331e-07 |     5 |          10 |
| 10 | vars        | Point-Biserial | -0.282674 | 0.00175893  |     6 |          10 |
| 11 | vars        | Pearson        | -0.504277 | 4.30339e-09 |     6 |          10 |
| 12 | vars        | Point-Biserial | -0.272499 | 0.0011251   |     7 |          10 |
| 13 | vars        | Pearson        | -0.502223 | 2.58006e-10 |     7 |          10 |
+----+-------------+----------------+-----------+-------------+-------+-------------+
