+----+-----------------+----------------+---------------+---------------+-------+---------+
|    | Package         | Type           |          Corr |             p |   Lag |   alpha |
|  5 | statsmodels     | Pearson        |  -0.455181    |   0.000258061 |     3 |      20 |
|  6 | statsmodels     | Point-Biserial |  -0.33492     |   0.0023919   |     4 |      20 |
|  7 | statsmodels     | Pearson        |  -0.472536    |   9.61488e-06 |     4 |      20 |
|  8 | statsmodels     | Point-Biserial |  -0.346941    |   0.000405787 |     5 |      20 |
|  9 | statsmodels     | Pearson        |  -0.434841    |   6.16104e-06 |     5 |      20 |
| 10 | statsmodels     | Point-Biserial |  -0.353009    |   7.66499e-05 |     6 |      20 |
| 11 | statsmodels     | Pearson        |  -0.424646    |   1.33899e-06 |     6 |      20 |
| 12 | statsmodels     | Point-Biserial |  -0.344851    |   3.01311e-05 |     7 |      20 |
| 13 | statsmodels     | Pearson        |  -0.346451    |   2.7513e-05  |     7 |      20 |
|  0 | vars            | Point-Biserial |  -0.565504    |   0.00936042  |     1 |      20 |
|  1 | vars            | Pearson        |  -0.732043    |   0.000243277 |     1 |      20 |
|  2 | vars            | Point-Biserial |  -0.430641    |   0.00553898  |     2 |      20 |
|  3 | vars            | Pearson        |  -0.619406    |   2.03106e-05 |     2 |      20 |
|  4 | vars            | Point-Biserial |  -0.32442     |   0.0114425   |     3 |      20 |
|  5 | vars            | Pearson        |  -0.487205    |   7.88776e-05 |     3 |      20 |
|  6 | vars            | Point-Biserial |  -0.311742    |   0.00487879  |     4 |      20 |
|  7 | vars            | Pearson        |  -0.49849     |   2.52996e-06 |     4 |      20 |
|  8 | vars            | Point-Biserial |  -0.33701     |   0.000606691 |     5 |      20 |
|  9 | vars            | Pearson        |  -0.539054    |   7.2084e-09  |     5 |      20 |
| 10 | vars            | Point-Biserial |  -0.318695    |   0.000388822 |     6 |      20 |
| 11 | vars            | Pearson        |  -0.530348    |   4.668e-10   |     6 |      20 |
| 12 | vars            | Point-Biserial |  -0.286657    |   0.000595365 |     7 |      20 |
| 13 | vars            | Pearson        |  -0.487152    |   1.03712e-09 |     7 |      20 |
|  0 | lmtest          | Point-Biserial |  -0.565598    |   0.00934611  |     1 |      20 |
|  1 | lmtest          | Pearson        |  -0.732133    |   0.00024263  |     1 |      20 |
|  2 | lmtest          | Point-Biserial |  -0.430691    |   0.00553287  |     2 |      20 |
|  3 | lmtest          | Pearson        |  -0.619459    |   2.02682e-05 |     2 |      20 |
|  4 | lmtest          | Point-Biserial |  -0.32447     |   0.011429    |     3 |      20 |
|  5 | lmtest          | Pearson        |  -0.487244    |   7.87585e-05 |     3 |      20 |
|  6 | lmtest          | Point-Biserial |  -0.311766    |   0.00487528  |     4 |      20 |
|  7 | lmtest          | Pearson        |  -0.498487    |   2.53039e-06 |     4 |      20 |
|  8 | lmtest          | Point-Biserial |  -0.337056    |   0.000605586 |     5 |      20 |
|  9 | lmtest          | Pearson        |  -0.539094    |   7.18631e-09 |     5 |      20 |
| 10 | lmtest          | Point-Biserial |  -0.318736    |   0.000388119 |     6 |      20 |
| 11 | lmtest          | Pearson        |  -0.530391    |   4.65018e-10 |     6 |      20 |
| 12 | lmtest          | Point-Biserial |  -0.286711    |   0.000593895 |     7 |      20 |
| 13 | lmtest          | Pearson        |  -0.487212    |   1.03154e-09 |     7 |      20 |
|  0 | VLTimeCausality | Point-Biserial |  -0.70594     |   0.000505018 |     1 |      20 |
|  1 | VLTimeCausality | Pearson        |  -0.922264    |   7.40591e-09 |     1 |      20 |
|  2 | VLTimeCausality | Point-Biserial |  -0.420128    |   0.00695427  |     2 |      20 |
|  3 | VLTimeCausality | Pearson        |  -0.60666     |   3.3293e-05  |     2 |      20 |
|  4 | VLTimeCausality | Point-Biserial |  -0.42892     |   0.000627579 |     3 |      20 |
|  5 | VLTimeCausality | Pearson        |  -0.638569    |   4.03089e-08 |     3 |      20 |
|  6 | VLTimeCausality | Point-Biserial |  -0.352425    |   0.00134546  |     4 |      20 |
|  7 | VLTimeCausality | Pearson        |  -0.552749    |   1.05885e-07 |     4 |      20 |
|  8 | VLTimeCausality | Point-Biserial |  -0.401846    |   3.41261e-05 |     5 |      20 |
|  9 | VLTimeCausality | Pearson        |  -0.623683    |   4.17246e-12 |     5 |      20 |
| 10 | VLTimeCausality | Point-Biserial |  -0.358495    |   5.80764e-05 |     6 |      20 |
| 11 | VLTimeCausality | Pearson        |  -0.569887    |   1.09566e-11 |     6 |      20 |
| 12 | VLTimeCausality | Point-Biserial |  -0.359378    |   1.29654e-05 |     7 |      20 |
| 13 | VLTimeCausality | Pearson        |  -0.589052    |   1.92856e-14 |     7 |      20 |
|  0 | NlinTS          | Point-Biserial |   0.195248    |   0.409407    |     1 |      20 |
|  1 | NlinTS          | Pearson        |  -0.00520198  |   0.982635    |     1 |      20 |
|  2 | NlinTS          | Point-Biserial | nan           | nan           |     2 |      20 |
|  3 | NlinTS          | Pearson        | nan           | nan           |     2 |      20 |
|  4 | NlinTS          | Point-Biserial | nan           | nan           |     3 |      20 |
|  5 | NlinTS          | Pearson        | nan           | nan           |     3 |      20 |
|  6 | NlinTS          | Point-Biserial | nan           | nan           |     4 |      20 |
|  7 | NlinTS          | Pearson        | nan           | nan           |     4 |      20 |
|  8 | NlinTS          | Point-Biserial |   0.0645063   |   0.523723    |     5 |      20 |
|  9 | NlinTS          | Pearson        |   0.0458831   |   0.650332    |     5 |      20 |
| 10 | NlinTS          | Point-Biserial |   0.0775251   |   0.399998    |     6 |      20 |
| 11 | NlinTS          | Pearson        |   0.0764719   |   0.406451    |     6 |      20 |
| 12 | NlinTS          | Point-Biserial |   0.0454509   |   0.59387     |     7 |      20 |
| 13 | NlinTS          | Pearson        |  -0.0768808   |   0.366607    |     7 |      20 |
+----+-----------------+----------------+---------------+---------------+-------+---------+
