+----+-----------------+------------+-------+---------+
|    | Package         |   Accuracy |   Lag |   alpha |
|  5 | statsmodels     |       0.75 |     6 |      10 |
|  6 | statsmodels     |       0.65 |     7 |      10 |
|  0 | vars            |       0.95 |     1 |      10 |
|  1 | vars            |       0.95 |     2 |      10 |
|  2 | vars            |       0.9  |     3 |      10 |
|  3 | vars            |       0.8  |     4 |      10 |
|  4 | vars            |       0.8  |     5 |      10 |
|  5 | vars            |       0.8  |     6 |      10 |
|  6 | vars            |       0.85 |     7 |      10 |
|  0 | lmtest          |       0.95 |     1 |      10 |
|  1 | lmtest          |       0.95 |     2 |      10 |
|  2 | lmtest          |       0.9  |     3 |      10 |
|  3 | lmtest          |       0.8  |     4 |      10 |
|  4 | lmtest          |       0.8  |     5 |      10 |
|  5 | lmtest          |       0.8  |     6 |      10 |
|  6 | lmtest          |       0.85 |     7 |      10 |
|  0 | VLTimeCausality |       1    |     1 |      10 |
|  1 | VLTimeCausality |       1    |     2 |      10 |
|  2 | VLTimeCausality |       1    |     3 |      10 |
|  3 | VLTimeCausality |       0.95 |     4 |      10 |
|  4 | VLTimeCausality |       0.95 |     5 |      10 |
|  5 | VLTimeCausality |       0.95 |     6 |      10 |
|  6 | VLTimeCausality |       0.95 |     7 |      10 |
|  0 | NlinTS          |       0.5  |     1 |      10 |
|  1 | NlinTS          |       0.5  |     2 |      10 |
|  2 | NlinTS          |       0.5  |     3 |      10 |
|  3 | NlinTS          |       0.5  |     4 |      10 |
|  4 | NlinTS          |       0.5  |     5 |      10 |
|  5 | NlinTS          |       0.5  |     6 |      10 |
|  6 | NlinTS          |       0.5  |     7 |      10 |
|  0 | statsmodels     |       0.85 |     1 |      12 |
|  1 | statsmodels     |       0.85 |     2 |      12 |
|  2 | statsmodels     |       0.8  |     3 |      12 |
|  3 | statsmodels     |       0.8  |     4 |      12 |
|  4 | statsmodels     |       0.65 |     5 |      12 |
|  5 | statsmodels     |       0.75 |     6 |      12 |
|  6 | statsmodels     |       0.65 |     7 |      12 |
|  0 | vars            |       0.95 |     1 |      12 |
|  1 | vars            |       0.95 |     2 |      12 |
|  2 | vars            |       0.9  |     3 |      12 |
|  3 | vars            |       0.8  |     4 |      12 |
|  4 | vars            |       0.8  |     5 |      12 |
|  5 | vars            |       0.8  |     6 |      12 |
|  6 | vars            |       0.85 |     7 |      12 |
|  0 | lmtest          |       0.95 |     1 |      12 |
|  1 | lmtest          |       0.95 |     2 |      12 |
|  2 | lmtest          |       0.9  |     3 |      12 |
|  3 | lmtest          |       0.8  |     4 |      12 |
|  4 | lmtest          |       0.8  |     5 |      12 |
|  5 | lmtest          |       0.8  |     6 |      12 |
|  6 | lmtest          |       0.85 |     7 |      12 |
|  0 | VLTimeCausality |       1    |     1 |      12 |
|  1 | VLTimeCausality |       1    |     2 |      12 |
|  2 | VLTimeCausality |       1    |     3 |      12 |
|  3 | VLTimeCausality |       0.95 |     4 |      12 |
|  4 | VLTimeCausality |       0.95 |     5 |      12 |
|  5 | VLTimeCausality |       0.95 |     6 |      12 |
|  6 | VLTimeCausality |       0.95 |     7 |      12 |
|  0 | NlinTS          |       0.5  |     1 |      12 |
|  1 | NlinTS          |       0.5  |     2 |      12 |
|  2 | NlinTS          |       0.5  |     3 |      12 |
|  3 | NlinTS          |       0.5  |     4 |      12 |
|  4 | NlinTS          |       0.5  |     5 |      12 |
|  5 | NlinTS          |       0.5  |     6 |      12 |
|  6 | NlinTS          |       0.5  |     7 |      12 |
|  0 | statsmodels     |       0.85 |     1 |      14 |
|  1 | statsmodels     |       0.85 |     2 |      14 |
|  2 | statsmodels     |       0.8  |     3 |      14 |
|  3 | statsmodels     |       0.8  |     4 |      14 |
|  4 | statsmodels     |       0.65 |     5 |      14 |
|  5 | statsmodels     |       0.8  |     6 |      14 |
|  6 | statsmodels     |       0.65 |     7 |      14 |
|  0 | vars            |       0.95 |     1 |      14 |
|  1 | vars            |       0.95 |     2 |      14 |
|  2 | vars            |       0.9  |     3 |      14 |
|  3 | vars            |       0.8  |     4 |      14 |
|  4 | vars            |       0.8  |     5 |      14 |
|  5 | vars            |       0.8  |     6 |      14 |
|  6 | vars            |       0.85 |     7 |      14 |
|  0 | lmtest          |       0.95 |     1 |      14 |
|  1 | lmtest          |       0.95 |     2 |      14 |
|  2 | lmtest          |       0.9  |     3 |      14 |
|  3 | lmtest          |       0.8  |     4 |      14 |
|  4 | lmtest          |       0.8  |     5 |      14 |
|  5 | lmtest          |       0.8  |     6 |      14 |
|  6 | lmtest          |       0.85 |     7 |      14 |
|  0 | VLTimeCausality |       1    |     1 |      14 |
|  1 | VLTimeCausality |       1    |     2 |      14 |
|  2 | VLTimeCausality |       1    |     3 |      14 |
|  3 | VLTimeCausality |       0.95 |     4 |      14 |
|  4 | VLTimeCausality |       0.95 |     5 |      14 |
|  5 | VLTimeCausality |       0.95 |     6 |      14 |
|  6 | VLTimeCausality |       0.95 |     7 |      14 |
|  0 | NlinTS          |       0.5  |     1 |      14 |
|  1 | NlinTS          |       0.5  |     2 |      14 |
|  2 | NlinTS          |       0.5  |     3 |      14 |
|  3 | NlinTS          |       0.5  |     4 |      14 |
|  4 | NlinTS          |       0.5  |     5 |      14 |
|  5 | NlinTS          |       0.5  |     6 |      14 |
|  6 | NlinTS          |       0.5  |     7 |      14 |
|  0 | statsmodels     |       0.85 |     1 |      16 |
|  1 | statsmodels     |       0.85 |     2 |      16 |
|  2 | statsmodels     |       0.8  |     3 |      16 |
|  3 | statsmodels     |       0.8  |     4 |      16 |
|  4 | statsmodels     |       0.65 |     5 |      16 |
|  5 | statsmodels     |       0.8  |     6 |      16 |
|  6 | statsmodels     |       0.65 |     7 |      16 |
|  0 | vars            |       0.95 |     1 |      16 |
|  1 | vars            |       0.95 |     2 |      16 |
|  2 | vars            |       0.9  |     3 |      16 |
|  3 | vars            |       0.8  |     4 |      16 |
|  4 | vars            |       0.8  |     5 |      16 |
|  5 | vars            |       0.8  |     6 |      16 |
|  6 | vars            |       0.85 |     7 |      16 |
|  0 | lmtest          |       0.95 |     1 |      16 |
|  1 | lmtest          |       0.95 |     2 |      16 |
|  2 | lmtest          |       0.9  |     3 |      16 |
|  3 | lmtest          |       0.8  |     4 |      16 |
|  4 | lmtest          |       0.8  |     5 |      16 |
|  5 | lmtest          |       0.8  |     6 |      16 |
|  6 | lmtest          |       0.85 |     7 |      16 |
|  0 | VLTimeCausality |       1    |     1 |      16 |
|  1 | VLTimeCausality |       1    |     2 |      16 |
|  2 | VLTimeCausality |       1    |     3 |      16 |
|  3 | VLTimeCausality |       0.95 |     4 |      16 |
|  4 | VLTimeCausality |       0.95 |     5 |      16 |
|  5 | VLTimeCausality |       0.95 |     6 |      16 |
|  6 | VLTimeCausality |       0.95 |     7 |      16 |
|  0 | NlinTS          |       0.5  |     1 |      16 |
|  1 | NlinTS          |       0.5  |     2 |      16 |
|  2 | NlinTS          |       0.5  |     3 |      16 |
|  3 | NlinTS          |       0.5  |     4 |      16 |
|  4 | NlinTS          |       0.5  |     5 |      16 |
|  5 | NlinTS          |       0.5  |     6 |      16 |
|  6 | NlinTS          |       0.5  |     7 |      16 |
|  0 | statsmodels     |       0.85 |     1 |      18 |
|  1 | statsmodels     |       0.85 |     2 |      18 |
|  2 | statsmodels     |       0.8  |     3 |      18 |
|  3 | statsmodels     |       0.8  |     4 |      18 |
