+----+-----------------+----------------+--------------+-------------+-------+--------+
|    | Package         | Type           |         Corr |           p |   Lag |   beta |
|  3 | lmtest          | Pearson        | -0.437089    | 0.00480046  |     2 |      8 |
|  4 | lmtest          | Point-Biserial | -0.288234    | 0.0255284   |     3 |      8 |
|  5 | lmtest          | Pearson        | -0.493826    | 6.08156e-05 |     3 |      8 |
|  6 | lmtest          | Point-Biserial | -0.275873    | 0.0132524   |     4 |      8 |
|  7 | lmtest          | Pearson        | -0.516191    | 9.53944e-07 |     4 |      8 |
|  8 | lmtest          | Point-Biserial | -0.268073    | 0.00700572  |     5 |      8 |
|  9 | lmtest          | Pearson        | -0.537646    | 8.02277e-09 |     5 |      8 |
| 10 | lmtest          | Point-Biserial | -0.241548    | 0.00786514  |     6 |      8 |
| 11 | lmtest          | Pearson        | -0.531231    | 4.31506e-10 |     6 |      8 |
| 12 | lmtest          | Point-Biserial | -0.195888    | 0.0203668   |     7 |      8 |
| 13 | lmtest          | Pearson        | -0.496494    | 4.41324e-10 |     7 |      8 |
|  0 | VLTimeCausality | Point-Biserial | -0.707279    | 0.000487354 |     1 |      8 |
|  1 | VLTimeCausality | Pearson        | -0.914299    | 1.72977e-08 |     1 |      8 |
|  2 | VLTimeCausality | Point-Biserial | -0.445144    | 0.00399923  |     2 |      8 |
|  3 | VLTimeCausality | Pearson        | -0.605357    | 3.49765e-05 |     2 |      8 |
|  4 | VLTimeCausality | Point-Biserial | -0.387996    | 0.00219016  |     3 |      8 |
|  5 | VLTimeCausality | Pearson        | -0.435667    | 0.000502869 |     3 |      8 |
|  6 | VLTimeCausality | Point-Biserial | -0.351513    | 0.00138753  |     4 |      8 |
|  7 | VLTimeCausality | Pearson        | -0.401629    | 0.000222061 |     4 |      8 |
|  8 | VLTimeCausality | Point-Biserial | -0.388249    | 6.56745e-05 |     5 |      8 |
|  9 | VLTimeCausality | Pearson        | -0.462195    | 1.29276e-06 |     5 |      8 |
| 10 | VLTimeCausality | Point-Biserial | -0.340399    | 0.000142318 |     6 |      8 |
| 11 | VLTimeCausality | Pearson        | -0.401521    | 5.489e-06   |     6 |      8 |
| 12 | VLTimeCausality | Point-Biserial | -0.345398    | 2.9211e-05  |     7 |      8 |
| 13 | VLTimeCausality | Pearson        | -0.415383    | 3.33746e-07 |     7 |      8 |
|  0 | NlinTS          | Point-Biserial |  0.17253     | 0.466994    |     1 |      8 |
|  1 | NlinTS          | Pearson        | -0.140984    | 0.553264    |     1 |      8 |
|  2 | NlinTS          | Point-Biserial |  0.163539    | 0.313298    |     2 |      8 |
|  3 | NlinTS          | Pearson        |  0.229416    | 0.154442    |     2 |      8 |
|  4 | NlinTS          | Point-Biserial |  0.0608828   | 0.644006    |     3 |      8 |
|  5 | NlinTS          | Pearson        |  0.0877394   | 0.505017    |     3 |      8 |
|  6 | NlinTS          | Point-Biserial |  0.0475993   | 0.675013    |     4 |      8 |
|  7 | NlinTS          | Pearson        | -6.93889e-18 | 1           |     4 |      8 |
|  8 | NlinTS          | Point-Biserial |  0.0705288   | 0.485622    |     5 |      8 |
|  9 | NlinTS          | Pearson        |  0.0458831   | 0.650332    |     5 |      8 |
| 10 | NlinTS          | Point-Biserial |  0.0393223   | 0.669809    |     6 |      8 |
| 11 | NlinTS          | Pearson        | -0.0505414   | 0.583549    |     6 |      8 |
| 12 | NlinTS          | Point-Biserial | -0.188213    | 0.025951    |     7 |      8 |
| 13 | NlinTS          | Pearson        | -0.155776    | 0.0660801   |     7 |      8 |
|  0 | statsmodels     | Point-Biserial | -0.58016     | 0.00732652  |     1 |     10 |
|  1 | statsmodels     | Pearson        | -0.698571    | 0.000612244 |     1 |     10 |
|  2 | statsmodels     | Point-Biserial | -0.296304    | 0.0633819   |     2 |     10 |
|  3 | statsmodels     | Pearson        | -0.404515    | 0.00962672  |     2 |     10 |
|  4 | statsmodels     | Point-Biserial | -0.290941    | 0.0241181   |     3 |     10 |
|  5 | statsmodels     | Pearson        | -0.394796    | 0.00179864  |     3 |     10 |
|  6 | statsmodels     | Point-Biserial | -0.278249    | 0.0124497   |     4 |     10 |
|  7 | statsmodels     | Pearson        | -0.425624    | 8.289e-05   |     4 |     10 |
|  8 | statsmodels     | Point-Biserial | -0.284838    | 0.00407465  |     5 |     10 |
