+----+-------------+----------------+------------+-------------+-------+-------------+
|    | Package     | Type           |       Corr |           p |   Lag |   scale_cov |
|  5 | vars        | Pearson        | -0.604496  | 3.14311e-07 |     3 |         100 |
|  6 | vars        | Point-Biserial | -0.26582   | 0.0171632   |     4 |         100 |
|  7 | vars        | Pearson        | -0.649342  | 7.25166e-11 |     4 |         100 |
|  8 | vars        | Point-Biserial | -0.197045  | 0.0494153   |     5 |         100 |
|  9 | vars        | Pearson        | -0.63945   | 8.03269e-13 |     5 |         100 |
| 10 | vars        | Point-Biserial | -0.231085  | 0.011105    |     6 |         100 |
| 11 | vars        | Pearson        | -0.670877  | 5.1522e-17  |     6 |         100 |
| 12 | vars        | Point-Biserial | -0.213757  | 0.0112154   |     7 |         100 |
| 13 | vars        | Pearson        | -0.637321  | 2.53936e-17 |     7 |         100 |
+----+-------------+----------------+------------+-------------+-------+-------------+
