+----+-------------+----------------+-----------+-------------+-------+----------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   significance level |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.09 |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.09 |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.09 |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.09 |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.09 |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.09 |
|  0 | statsmodels | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.1  |
|  1 | statsmodels | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.1  |
|  2 | statsmodels | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.1  |
|  3 | statsmodels | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.1  |
|  4 | statsmodels | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.1  |
|  5 | statsmodels | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.1  |
|  6 | statsmodels | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.1  |
|  7 | statsmodels | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.1  |
|  8 | statsmodels | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.1  |
|  9 | statsmodels | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.1  |
| 10 | statsmodels | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.1  |
| 11 | statsmodels | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.1  |
| 12 | statsmodels | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.1  |
| 13 | statsmodels | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.1  |
|  0 | vars        | Point-Biserial | -0.456924 | 0.0428305   |     1 |                 0.1  |
|  1 | vars        | Pearson        | -0.500215 | 0.0246976   |     1 |                 0.1  |
|  2 | vars        | Point-Biserial | -0.416318 | 0.007539    |     2 |                 0.1  |
|  3 | vars        | Pearson        | -0.500065 | 0.00101735  |     2 |                 0.1  |
|  4 | vars        | Point-Biserial | -0.386866 | 0.00226216  |     3 |                 0.1  |
|  5 | vars        | Pearson        | -0.500077 | 4.73422e-05 |     3 |                 0.1  |
|  6 | vars        | Point-Biserial | -0.364346 | 0.000892111 |     4 |                 0.1  |
|  7 | vars        | Pearson        | -0.500151 | 2.31411e-06 |     4 |                 0.1  |
|  8 | vars        | Point-Biserial | -0.346369 | 0.000415441 |     5 |                 0.1  |
|  9 | vars        | Pearson        | -0.50024  | 1.16158e-07 |     5 |                 0.1  |
| 10 | vars        | Point-Biserial | -0.331477 | 0.000217073 |     6 |                 0.1  |
| 11 | vars        | Pearson        | -0.500231 | 5.97557e-09 |     6 |                 0.1  |
| 12 | vars        | Point-Biserial | -0.318957 | 0.00012257  |     7 |                 0.1  |
| 13 | vars        | Pearson        | -0.500318 | 3.08761e-10 |     7 |                 0.1  |
+----+-------------+----------------+-----------+-------------+-------+----------------------+
