+----+-----------------+------------+-------+-------------+
|    | Package         |   Accuracy |   Lag |   scale_var |
|  1 | vars            |       1    |     2 |          13 |
|  2 | vars            |       0.8  |     3 |          13 |
|  3 | vars            |       0.75 |     4 |          13 |
|  4 | vars            |       0.75 |     5 |          13 |
|  5 | vars            |       0.75 |     6 |          13 |
|  6 | vars            |       0.75 |     7 |          13 |
|  0 | lmtest          |       0.9  |     1 |          13 |
|  1 | lmtest          |       1    |     2 |          13 |
|  2 | lmtest          |       0.8  |     3 |          13 |
|  3 | lmtest          |       0.75 |     4 |          13 |
|  4 | lmtest          |       0.75 |     5 |          13 |
|  5 | lmtest          |       0.75 |     6 |          13 |
|  6 | lmtest          |       0.75 |     7 |          13 |
|  0 | VLTimeCausality |       1    |     1 |          13 |
|  1 | VLTimeCausality |       1    |     2 |          13 |
|  2 | VLTimeCausality |       0.9  |     3 |          13 |
|  3 | VLTimeCausality |       0.85 |     4 |          13 |
|  4 | VLTimeCausality |       0.85 |     5 |          13 |
|  5 | VLTimeCausality |       0.85 |     6 |          13 |
|  6 | VLTimeCausality |       0.85 |     7 |          13 |
|  0 | NlinTS          |       0.5  |     1 |          13 |
|  1 | NlinTS          |       0.5  |     2 |          13 |
|  2 | NlinTS          |       0.5  |     3 |          13 |
|  3 | NlinTS          |       0.5  |     4 |          13 |
|  4 | NlinTS          |       0.5  |     5 |          13 |
|  5 | NlinTS          |       0.5  |     6 |          13 |
|  6 | NlinTS          |       0.5  |     7 |          13 |
|  0 | statsmodels     |       0.85 |     1 |          15 |
|  1 | statsmodels     |       0.75 |     2 |          15 |
|  2 | statsmodels     |       0.6  |     3 |          15 |
|  3 | statsmodels     |       0.65 |     4 |          15 |
|  4 | statsmodels     |       0.55 |     5 |          15 |
|  5 | statsmodels     |       0.65 |     6 |          15 |
|  6 | statsmodels     |       0.6  |     7 |          15 |
|  0 | vars            |       0.9  |     1 |          15 |
|  1 | vars            |       1    |     2 |          15 |
|  2 | vars            |       0.8  |     3 |          15 |
|  3 | vars            |       0.75 |     4 |          15 |
|  4 | vars            |       0.75 |     5 |          15 |
|  5 | vars            |       0.75 |     6 |          15 |
|  6 | vars            |       0.75 |     7 |          15 |
|  0 | lmtest          |       0.9  |     1 |          15 |
|  1 | lmtest          |       1    |     2 |          15 |
|  2 | lmtest          |       0.8  |     3 |          15 |
|  3 | lmtest          |       0.75 |     4 |          15 |
|  4 | lmtest          |       0.75 |     5 |          15 |
|  5 | lmtest          |       0.75 |     6 |          15 |
|  6 | lmtest          |       0.75 |     7 |          15 |
|  0 | VLTimeCausality |       1    |     1 |          15 |
|  1 | VLTimeCausality |       1    |     2 |          15 |
|  2 | VLTimeCausality |       0.9  |     3 |          15 |
|  3 | VLTimeCausality |       0.85 |     4 |          15 |
|  4 | VLTimeCausality |       0.85 |     5 |          15 |
|  5 | VLTimeCausality |       0.85 |     6 |          15 |
|  6 | VLTimeCausality |       0.85 |     7 |          15 |
|  0 | NlinTS          |       0.5  |     1 |          15 |
|  1 | NlinTS          |       0.5  |     2 |          15 |
|  2 | NlinTS          |       0.5  |     3 |          15 |
|  3 | NlinTS          |       0.5  |     4 |          15 |
|  4 | NlinTS          |       0.5  |     5 |          15 |
|  5 | NlinTS          |       0.5  |     6 |          15 |
|  6 | NlinTS          |       0.5  |     7 |          15 |
|  0 | statsmodels     |       0.85 |     1 |          17 |
|  1 | statsmodels     |       0.75 |     2 |          17 |
|  2 | statsmodels     |       0.6  |     3 |          17 |
|  3 | statsmodels     |       0.65 |     4 |          17 |
|  4 | statsmodels     |       0.55 |     5 |          17 |
|  5 | statsmodels     |       0.65 |     6 |          17 |
|  6 | statsmodels     |       0.6  |     7 |          17 |
|  0 | vars            |       0.9  |     1 |          17 |
|  1 | vars            |       1    |     2 |          17 |
|  2 | vars            |       0.8  |     3 |          17 |
|  3 | vars            |       0.75 |     4 |          17 |
|  4 | vars            |       0.75 |     5 |          17 |
|  5 | vars            |       0.75 |     6 |          17 |
|  6 | vars            |       0.75 |     7 |          17 |
|  0 | lmtest          |       0.9  |     1 |          17 |
|  1 | lmtest          |       1    |     2 |          17 |
|  2 | lmtest          |       0.8  |     3 |          17 |
|  3 | lmtest          |       0.75 |     4 |          17 |
|  4 | lmtest          |       0.75 |     5 |          17 |
|  5 | lmtest          |       0.75 |     6 |          17 |
|  6 | lmtest          |       0.75 |     7 |          17 |
|  0 | VLTimeCausality |       1    |     1 |          17 |
|  1 | VLTimeCausality |       1    |     2 |          17 |
|  2 | VLTimeCausality |       0.9  |     3 |          17 |
|  3 | VLTimeCausality |       0.85 |     4 |          17 |
|  4 | VLTimeCausality |       0.85 |     5 |          17 |
|  5 | VLTimeCausality |       0.85 |     6 |          17 |
|  6 | VLTimeCausality |       0.85 |     7 |          17 |
|  0 | NlinTS          |       0.5  |     1 |          17 |
|  1 | NlinTS          |       0.5  |     2 |          17 |
|  2 | NlinTS          |       0.5  |     3 |          17 |
|  3 | NlinTS          |       0.5  |     4 |          17 |
|  4 | NlinTS          |       0.5  |     5 |          17 |
|  5 | NlinTS          |       0.5  |     6 |          17 |
|  6 | NlinTS          |       0.5  |     7 |          17 |
|  0 | statsmodels     |       0.85 |     1 |          19 |
|  1 | statsmodels     |       0.75 |     2 |          19 |
|  2 | statsmodels     |       0.6  |     3 |          19 |
|  3 | statsmodels     |       0.65 |     4 |          19 |
|  4 | statsmodels     |       0.55 |     5 |          19 |
|  5 | statsmodels     |       0.65 |     6 |          19 |
|  6 | statsmodels     |       0.6  |     7 |          19 |
|  0 | vars            |       0.9  |     1 |          19 |
|  1 | vars            |       1    |     2 |          19 |
|  2 | vars            |       0.8  |     3 |          19 |
|  3 | vars            |       0.75 |     4 |          19 |
|  4 | vars            |       0.75 |     5 |          19 |
|  5 | vars            |       0.75 |     6 |          19 |
|  6 | vars            |       0.75 |     7 |          19 |
|  0 | lmtest          |       0.9  |     1 |          19 |
|  1 | lmtest          |       1    |     2 |          19 |
|  2 | lmtest          |       0.8  |     3 |          19 |
|  3 | lmtest          |       0.75 |     4 |          19 |
|  4 | lmtest          |       0.75 |     5 |          19 |
|  5 | lmtest          |       0.75 |     6 |          19 |
|  6 | lmtest          |       0.75 |     7 |          19 |
|  0 | VLTimeCausality |       1    |     1 |          19 |
|  1 | VLTimeCausality |       1    |     2 |          19 |
|  2 | VLTimeCausality |       0.9  |     3 |          19 |
|  3 | VLTimeCausality |       0.85 |     4 |          19 |
|  4 | VLTimeCausality |       0.85 |     5 |          19 |
|  5 | VLTimeCausality |       0.85 |     6 |          19 |
|  6 | VLTimeCausality |       0.85 |     7 |          19 |
|  0 | NlinTS          |       0.5  |     1 |          19 |
|  1 | NlinTS          |       0.5  |     2 |          19 |
|  2 | NlinTS          |       0.5  |     3 |          19 |
|  3 | NlinTS          |       0.5  |     4 |          19 |
|  4 | NlinTS          |       0.5  |     5 |          19 |
|  5 | NlinTS          |       0.5  |     6 |          19 |
|  6 | NlinTS          |       0.5  |     7 |          19 |
|  0 | statsmodels     |       0.85 |     1 |          21 |
|  1 | statsmodels     |       0.75 |     2 |          21 |
|  2 | statsmodels     |       0.6  |     3 |          21 |
|  3 | statsmodels     |       0.65 |     4 |          21 |
|  4 | statsmodels     |       0.55 |     5 |          21 |
|  5 | statsmodels     |       0.65 |     6 |          21 |
|  6 | statsmodels     |       0.6  |     7 |          21 |
|  0 | vars            |       0.9  |     1 |          21 |
|  1 | vars            |       1    |     2 |          21 |
|  2 | vars            |       0.8  |     3 |          21 |
|  3 | vars            |       0.75 |     4 |          21 |
|  4 | vars            |       0.75 |     5 |          21 |
|  5 | vars            |       0.75 |     6 |          21 |
|  6 | vars            |       0.75 |     7 |          21 |
|  0 | lmtest          |       0.9  |     1 |          21 |
|  1 | lmtest          |       1    |     2 |          21 |
|  2 | lmtest          |       0.8  |     3 |          21 |
|  3 | lmtest          |       0.75 |     4 |          21 |
|  4 | lmtest          |       0.75 |     5 |          21 |
|  5 | lmtest          |       0.75 |     6 |          21 |
|  6 | lmtest          |       0.75 |     7 |          21 |
|  0 | VLTimeCausality |       1    |     1 |          21 |
|  1 | VLTimeCausality |       1    |     2 |          21 |
|  2 | VLTimeCausality |       0.9  |     3 |          21 |
|  3 | VLTimeCausality |       0.85 |     4 |          21 |
|  4 | VLTimeCausality |       0.85 |     5 |          21 |
|  5 | VLTimeCausality |       0.85 |     6 |          21 |
|  6 | VLTimeCausality |       0.85 |     7 |          21 |
|  0 | NlinTS          |       0.5  |     1 |          21 |
|  1 | NlinTS          |       0.5  |     2 |          21 |
|  2 | NlinTS          |       0.5  |     3 |          21 |
|  3 | NlinTS          |       0.5  |     4 |          21 |
|  4 | NlinTS          |       0.5  |     5 |          21 |
|  5 | NlinTS          |       0.5  |     6 |          21 |
|  6 | NlinTS          |       0.5  |     7 |          21 |
+----+-----------------+------------+-------+-------------+
