+----+-----------------+----------------+--------------+-------------+-------+------------------+
|    | Package         | Type           |         Corr |           p |   Lag |   decay_strength |
|  7 | vars            | Pearson        | -0.507556    | 1.5457e-06  |     4 |          1.66667 |
|  8 | vars            | Point-Biserial | -0.242011    | 0.0152721   |     5 |          1.66667 |
|  9 | vars            | Pearson        | -0.535402    | 9.50573e-09 |     5 |          1.66667 |
| 10 | vars            | Point-Biserial | -0.228553    | 0.0120462   |     6 |          1.66667 |
| 11 | vars            | Pearson        | -0.521971    | 9.72833e-10 |     6 |          1.66667 |
| 12 | vars            | Point-Biserial | -0.199885    | 0.0178935   |     7 |          1.66667 |
| 13 | vars            | Pearson        | -0.483754    | 1.40619e-09 |     7 |          1.66667 |
|  0 | lmtest          | Point-Biserial | -0.566       | 0.00928484  |     1 |          1.66667 |
|  1 | lmtest          | Pearson        | -0.730122    | 0.000257425 |     1 |          1.66667 |
|  2 | lmtest          | Point-Biserial | -0.364929    | 0.0205958   |     2 |          1.66667 |
|  3 | lmtest          | Pearson        | -0.531579    | 0.000415979 |     2 |          1.66667 |
|  4 | lmtest          | Point-Biserial | -0.285463    | 0.0270428   |     3 |          1.66667 |
|  5 | lmtest          | Pearson        | -0.477872    | 0.000112787 |     3 |          1.66667 |
|  6 | lmtest          | Point-Biserial | -0.253888    | 0.0230579   |     4 |          1.66667 |
|  7 | lmtest          | Pearson        | -0.507511    | 1.54956e-06 |     4 |          1.66667 |
|  8 | lmtest          | Point-Biserial | -0.242012    | 0.0152716   |     5 |          1.66667 |
|  9 | lmtest          | Pearson        | -0.53538     | 9.52189e-09 |     5 |          1.66667 |
| 10 | lmtest          | Point-Biserial | -0.228526    | 0.0120565   |     6 |          1.66667 |
| 11 | lmtest          | Pearson        | -0.521921    | 9.7699e-10  |     6 |          1.66667 |
| 12 | lmtest          | Point-Biserial | -0.199872    | 0.0179009   |     7 |          1.66667 |
| 13 | lmtest          | Pearson        | -0.483699    | 1.4131e-09  |     7 |          1.66667 |
