+----+-------------+----------------+-----------+-------------+-------+------------------+
|    | Package     | Type           |      Corr |           p |   Lag |   decay_strength |
| 10 | vars        | Point-Biserial | -0.196108 | 0.0318206   |     6 |          1.88889 |
| 11 | vars        | Pearson        | -0.498736 | 6.73882e-09 |     6 |          1.88889 |
| 12 | vars        | Point-Biserial | -0.184612 | 0.028993    |     7 |          1.88889 |
| 13 | vars        | Pearson        | -0.490384 | 7.73972e-10 |     7 |          1.88889 |
|  0 | statsmodels | Point-Biserial | -0.391188 | 0.0880937   |     1 |          2.11111 |
|  1 | statsmodels | Pearson        | -0.543501 | 0.0132561   |     1 |          2.11111 |
|  2 | statsmodels | Point-Biserial | -0.298864 | 0.0610252   |     2 |          2.11111 |
|  3 | statsmodels | Pearson        | -0.508537 | 0.00080668  |     2 |          2.11111 |
|  4 | statsmodels | Point-Biserial | -0.250142 | 0.0539052   |     3 |          2.11111 |
|  5 | statsmodels | Pearson        | -0.498071 | 5.13318e-05 |     3 |          2.11111 |
|  6 | statsmodels | Point-Biserial | -0.220143 | 0.0497425   |     4 |          2.11111 |
|  7 | statsmodels | Pearson        | -0.49692  | 2.75141e-06 |     4 |          2.11111 |
|  8 | statsmodels | Point-Biserial | -0.199041 | 0.0471112   |     5 |          2.11111 |
|  9 | statsmodels | Pearson        | -0.497715 | 1.37561e-07 |     5 |          2.11111 |
| 10 | statsmodels | Point-Biserial | -0.183363 | 0.0450004   |     6 |          2.11111 |
| 11 | statsmodels | Pearson        | -0.497361 | 7.52317e-09 |     6 |          2.11111 |
| 12 | statsmodels | Point-Biserial | -0.172226 | 0.0418745   |     7 |          2.11111 |
| 13 | statsmodels | Pearson        | -0.488076 | 9.54175e-10 |     7 |          2.11111 |
|  0 | vars        | Point-Biserial | -0.391188 | 0.0880937   |     1 |          2.11111 |
|  1 | vars        | Pearson        | -0.543501 | 0.0132561   |     1 |          2.11111 |
|  2 | vars        | Point-Biserial | -0.298864 | 0.0610252   |     2 |          2.11111 |
|  3 | vars        | Pearson        | -0.508537 | 0.00080668  |     2 |          2.11111 |
|  4 | vars        | Point-Biserial | -0.250142 | 0.0539052   |     3 |          2.11111 |
|  5 | vars        | Pearson        | -0.498071 | 5.13318e-05 |     3 |          2.11111 |
|  6 | vars        | Point-Biserial | -0.220143 | 0.0497425   |     4 |          2.11111 |
|  7 | vars        | Pearson        | -0.49692  | 2.75141e-06 |     4 |          2.11111 |
|  8 | vars        | Point-Biserial | -0.199041 | 0.0471112   |     5 |          2.11111 |
|  9 | vars        | Pearson        | -0.497715 | 1.37561e-07 |     5 |          2.11111 |
| 10 | vars        | Point-Biserial | -0.183363 | 0.0450004   |     6 |          2.11111 |
| 11 | vars        | Pearson        | -0.497361 | 7.52317e-09 |     6 |          2.11111 |
| 12 | vars        | Point-Biserial | -0.172226 | 0.0418745   |     7 |          2.11111 |
| 13 | vars        | Pearson        | -0.488076 | 9.54175e-10 |     7 |          2.11111 |
|  0 | statsmodels | Point-Biserial | -0.391445 | 0.0878667   |     1 |          2.33333 |
|  1 | statsmodels | Pearson        | -0.543944 | 0.0131665   |     1 |          2.33333 |
|  2 | statsmodels | Point-Biserial | -0.291111 | 0.0683847   |     2 |          2.33333 |
|  3 | statsmodels | Pearson        | -0.5083   | 0.000811998 |     2 |          2.33333 |
|  4 | statsmodels | Point-Biserial | -0.240184 | 0.0645329   |     3 |          2.33333 |
|  5 | statsmodels | Pearson        | -0.49774  | 5.20188e-05 |     3 |          2.33333 |
|  6 | statsmodels | Point-Biserial | -0.209745 | 0.0618572   |     4 |          2.33333 |
|  7 | statsmodels | Pearson        | -0.496348 | 2.83658e-06 |     4 |          2.33333 |
|  8 | statsmodels | Point-Biserial | -0.188623 | 0.0601867   |     5 |          2.33333 |
|  9 | statsmodels | Pearson        | -0.4971   | 1.43314e-07 |     5 |          2.33333 |
| 10 | statsmodels | Point-Biserial | -0.17316  | 0.05858     |     6 |          2.33333 |
| 11 | statsmodels | Pearson        | -0.496186 | 8.26146e-09 |     6 |          2.33333 |
| 12 | statsmodels | Point-Biserial | -0.162386 | 0.0552512   |     7 |          2.33333 |
| 13 | statsmodels | Pearson        | -0.486276 | 1.12219e-09 |     7 |          2.33333 |
|  0 | vars        | Point-Biserial | -0.391445 | 0.0878667   |     1 |          2.33333 |
|  1 | vars        | Pearson        | -0.543944 | 0.0131665   |     1 |          2.33333 |
|  2 | vars        | Point-Biserial | -0.291111 | 0.0683847   |     2 |          2.33333 |
|  3 | vars        | Pearson        | -0.5083   | 0.000811998 |     2 |          2.33333 |
|  4 | vars        | Point-Biserial | -0.240184 | 0.0645329   |     3 |          2.33333 |
|  5 | vars        | Pearson        | -0.49774  | 5.20188e-05 |     3 |          2.33333 |
